"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_000217655.1","GCA_030436145.1"
"4-diphosphocytidyl-2-C-methyl-D-erythritol kinase","","4-diphosphocytidyl-2-C-methyl-D-erythritol kinase","2","2","1","1","466","","","","836","836","836","LIHGCB_00373","OBIBPL_00371"
"Phospho-N-acetylmuramoyl-pentapeptide-transferase","","Phospho-N-acetylmuramoyl-pentapeptide-transferase","2","2","1","1","493","","","","1091","1091","1091","LIHGCB_00346","OBIBPL_00344"
"Cytidylate kinase","","Cytidylate kinase","2","2","1","1","496","","","","560","560","560","LIHGCB_00343","OBIBPL_00341"
"Translation initiation factor IF-1","","Translation initiation factor IF-1","2","2","1","1","216","","","","218","218","218","LIHGCB_00093","OBIBPL_00093"
"group_844","Tetratricopeptide repeat protein","Tetratricopeptide repeat protein","2","2","1","1","897","","","","761","761","761","LIHGCB_00813","OBIBPL_00812"
"group_845","hypothetical protein","hypothetical protein","2","2","1","1","969","","","","527","527","527","LIHGCB_00885","OBIBPL_00883"
"Glutamate transporter, putative","","Glutamate transporter, putative","2","2","1","1","108","","","","1223","1223","1223","LIHGCB_00921","OBIBPL_00919"
"group_847","hypothetical protein","hypothetical protein","2","2","1","1","6","","","","2378","2378","2378","LIHGCB_01025","OBIBPL_01022"
"Lipoprotein ABC superfamily ATP binding cassette transporter, membrane protein","","Lipoprotein ABC superfamily ATP binding cassette transporter, membrane protein","2","2","1","1","678","","","","1487","1487","1487","LIHGCB_00581","OBIBPL_00578"
"group_849","hypothetical protein","hypothetical protein","2","2","1","1","382","","","","89","89","89","LIHGCB_00272","OBIBPL_00274"
"Triosephosphate isomerase","","Triosephosphate isomerase","2","2","1","1","634","","","","749","749","749","LIHGCB_00536","OBIBPL_00533"
"group_850","hypothetical protein","hypothetical protein","2","2","1","1","823","","","","335","335","335","LIHGCB_00736","OBIBPL_00735"
"Putative galactokinase","","Putative galactokinase","2","2","1","1","521","","","","1166","1166","1166","LIHGCB_00419","OBIBPL_00416"
"Putative zinc metalloprotease TP_0600","","Putative zinc metalloprotease TP_0600","2","2","1","1","692","","","","1352","1352","1352","LIHGCB_00599","OBIBPL_00596"
"group_853","hypothetical protein","hypothetical protein","2","2","1","1","293","","","","1520","1520","1520","LIHGCB_00175","OBIBPL_00178"
"group_854","hypothetical protein","hypothetical protein","2","2","1","1","264","","","","1007","1007","1007","LIHGCB_00144","OBIBPL_00146"
"group_855","Sugar ABC superfamily ATP binding cassette transporter, binding protein","Sugar ABC superfamily ATP binding cassette transporter, binding protein","2","2","1","1","193","","","","1409","1409","1409","LIHGCB_00070","OBIBPL_00070"
"Basic membrane protein","","Basic membrane protein","2","2","1","1","27","","","","1085","1085","1085","LIHGCB_01005","OBIBPL_01002"
"recJ","","Single-stranded-DNA-specific exonuclease RecJ","2","2","1","1","789","","","","2294","2294","2294","LIHGCB_00702","OBIBPL_00701"
"group_858","hypothetical protein","hypothetical protein","2","2","1","1","422","","","","296","296","296","LIHGCB_00316","OBIBPL_00317"
"Proline--tRNA ligase","","Proline--tRNA ligase","2","2","1","1","282","","","","1859","1859","1859","LIHGCB_00163","OBIBPL_00166"
"group_860","hypothetical protein","hypothetical protein","2","2","1","1","713","","","","296","296","296","LIHGCB_00618","OBIBPL_00616"
"Sigma-54 factor interaction domain-containing protein","","Sigma-54 factor interaction domain-containing protein","2","2","1","1","201","","","","1586","1586","1586","LIHGCB_00078","OBIBPL_00078"
"lptD","","LptD C-terminal domain-containing protein","2","2","1","1","612","","","","2975","2981","2978","LIHGCB_00514","OBIBPL_00511"
"Large ribosomal subunit protein uL4","","Large ribosomal subunit protein uL4","2","2","1","1","306","","","","674","674","674","LIHGCB_00188","OBIBPL_00191"
"HTH cro/C1-type domain-containing protein","","HTH cro/C1-type domain-containing protein","2","2","1","1","504","","","","1217","1217","1217","LIHGCB_00335","OBIBPL_00333"
"NADPH-dependent glutamate synthase","","NADPH-dependent glutamate synthase","2","2","1","1","820","","","","1406","1406","1406","LIHGCB_00733","OBIBPL_00732"
"group_866","hypothetical protein","hypothetical protein","2","2","1","1","292","","","","1367","1367","1367","LIHGCB_00174","OBIBPL_00177"
"group_867","hypothetical protein","hypothetical protein","2","2","1","1","237","","","","1247","1247","1247","LIHGCB_00117","OBIBPL_00118"
"group_868","hypothetical protein","hypothetical protein","2","2","1","1","252","","","","1247","1247","1247","LIHGCB_00132","OBIBPL_00134"
"secF","","Protein translocase subunit SecF","2","2","1","1","428","","","","1262","1262","1262","LIHGCB_00412","OBIBPL_00409"
"group_87","hypothetical protein","hypothetical protein","2","2","1","1","967","","","","134","134","134","LIHGCB_00883","OBIBPL_00881"
"group_870","hypothetical protein","hypothetical protein","2","2","1","1","62","","","","1055","1055","1055","LIHGCB_00968","OBIBPL_00965"
"Bifunctional cysteine sulfinate desulfinase/cysteine desulfurase","","Bifunctional cysteine sulfinate desulfinase/cysteine desulfurase","2","2","1","1","939","","","","1283","1283","1283","LIHGCB_00855","OBIBPL_00853"
"Methyl-accepting chemotaxis protein","","Methyl-accepting chemotaxis protein","2","2","1","1","587","","","","2309","2309","2309","LIHGCB_00483","OBIBPL_00480"
"fliK","","Flagellar hook-length control protein FliK","2","2","1","1","814","","","","1643","1643","1643","LIHGCB_00727","OBIBPL_00726"
"DUF2147 domain-containing protein","","DUF2147 domain-containing protein","2","2","1","1","687","","","","587","590","588","LIHGCB_00594","OBIBPL_00591"
"group_875","hypothetical protein","hypothetical protein","2","2","1","1","630","","","","1685","1685","1685","LIHGCB_00532","OBIBPL_00529"
"group_876","hypothetical protein","hypothetical protein","2","2","1","1","517","","","","1742","1742","1742","LIHGCB_00317","OBIBPL_00318"
"cheX","","CheY-P phosphatase CheX","2","2","1","1","472","","","","464","464","464","LIHGCB_00367","OBIBPL_00365"
"Leucine--tRNA ligase","","Leucine--tRNA ligase","2","2","1","1","681","","","","2636","2636","2636","LIHGCB_00584","OBIBPL_00581"
"SUF system FeS cluster assembly SufBD core domain-containing protein","","SUF system FeS cluster assembly SufBD core domain-containing protein","2","2","1","1","704","","","","1148","1148","1148","LIHGCB_00612","OBIBPL_00609"
"putative exoribonuclease II","","putative exoribonuclease II","2","2","1","1","884","","","","2102","2102","2102","LIHGCB_00800","OBIBPL_00799"
"ugpC","","sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC","2","2","1","1","883","","","","1163","1163","1163","LIHGCB_00799","OBIBPL_00798"
"Glucose/galactose-binding lipoprotein","","Glucose/galactose-binding lipoprotein","2","2","1","1","771","","","","1211","1211","1211","LIHGCB_00682","OBIBPL_00681"
"Uncharacterized protein TP_0381","","Uncharacterized protein TP_0381","2","2","1","1","457","","","","716","716","716","LIHGCB_00383","OBIBPL_00380"
"TIGR03545 family protein","","TIGR03545 family protein","2","2","1","1","581","","","","2249","2249","2249","LIHGCB_00477","OBIBPL_00474"
"rnfC","","putative NADH dehydrogenase (Ubiquinone), subunit RnfC","2","2","1","1","274","","","","1484","1484","1484","LIHGCB_00155","OBIBPL_00158"
"group_886","hypothetical protein","hypothetical protein","2","2","1","1","238","","","","590","590","590","LIHGCB_00118","OBIBPL_00119"
"group_887","hypothetical protein","hypothetical protein","2","2","1","1","253","","","","590","590","590","LIHGCB_00133","OBIBPL_00135"
"group_888","hypothetical protein","hypothetical protein","2","2","1","1","776","","","","1382","1382","1382","LIHGCB_00687","OBIBPL_00686"
"group_889","hypothetical protein","hypothetical protein","2","2","1","1","200","","","","848","848","848","LIHGCB_00077","OBIBPL_00077"
"Uncharacterized protein TP_0675","","Uncharacterized protein TP_0675","2","2","1","1","762","","","","1040","1040","1040","LIHGCB_00672","OBIBPL_00671"
"phoU","","PhoU domain-containing protein","2","2","1","1","854","","","","1661","1661","1661","LIHGCB_00767","OBIBPL_00766"
"Uncharacterized protein TP_0956","","Uncharacterized protein TP_0956","2","2","1","1","85","","","","1025","1025","1025","LIHGCB_00945","OBIBPL_00942"
"Pyruvate, phosphate dikinase","","Pyruvate, phosphate dikinase","2","2","1","1","831","","","","2705","2705","2705","LIHGCB_00744","OBIBPL_00743"
"Outer membrane protein beta-barrel domain-containing protein","","Outer membrane protein beta-barrel domain-containing protein","2","2","1","1","255","","","","731","731","731","LIHGCB_00135","OBIBPL_00137"
"group_894","hypothetical protein","hypothetical protein","2","2","1","1","674","","","","881","881","881","LIHGCB_00577","OBIBPL_00574"
"Putative L-lysine 2,3-aminomutase","","Putative L-lysine 2,3-aminomutase","2","2","1","1","242","","","","1076","1076","1076","LIHGCB_00122","OBIBPL_00123"
"Elongation factor 4","","Elongation factor 4","2","2","1","1","607","","","","1808","1808","1808","LIHGCB_00509","OBIBPL_00506"
"group_897","hypothetical protein","hypothetical protein","2","2","1","1","386","","","","1448","1448","1448","LIHGCB_00280","OBIBPL_00282"
"V-type ATP synthase subunit I 1","","V-type ATP synthase subunit I 1","2","2","1","1","531","","","","1868","1868","1868","LIHGCB_00429","OBIBPL_00426"
"group_899","hypothetical protein","hypothetical protein","2","2","1","1","727","","","","764","770","767","LIHGCB_00632","OBIBPL_00630"
"group_90","hypothetical protein","hypothetical protein","2","2","1","1","390","","","","791","791","791","LIHGCB_00284","OBIBPL_00286"
"Uridine phosphorylase","","Uridine phosphorylase","2","2","1","1","15","","","","875","875","875","LIHGCB_01017","OBIBPL_01014"
"murJ","","putative lipid II flippase MurJ","2","2","1","1","613","","","","1580","1580","1580","LIHGCB_00515","OBIBPL_00512"
"putative bifunctional choline-phosphate cytidylyltransferase/choline kinase","","putative bifunctional choline-phosphate cytidylyltransferase/choline kinase","2","2","1","1","227","","","","1811","1811","1811","LIHGCB_00104","OBIBPL_00105"
"Glutamate racemase","","Glutamate racemase","2","2","1","1","433","","","","989","989","989","LIHGCB_00407","OBIBPL_00404"
"Thioredoxin reductase","","Thioredoxin reductase","2","2","1","1","892","","","","923","923","923","LIHGCB_00808","OBIBPL_00807"
"flgE","","Flagellar hook protein FlgE","2","2","1","1","812","","","","1391","1391","1391","LIHGCB_00725","OBIBPL_00724"
"flaA","","Flagellar filament outer layer protein FlaA","2","2","1","1","752","","","","725","725","725","LIHGCB_00660","OBIBPL_00659"
"Chromosome partition protein Smc","","Chromosome partition protein Smc","2","2","1","1","470","","","","2825","2825","2825","LIHGCB_00369","OBIBPL_00367"
"group_908","Tetratricopeptide repeat protein","Tetratricopeptide repeat protein","2","2","1","1","714","","","","1781","1781","1781","LIHGCB_00619","OBIBPL_00617"
"recA","","Protein RecA","2","2","1","1","779","","","","1223","1223","1223","LIHGCB_00690","OBIBPL_00689"
"group_91","hypothetical protein","hypothetical protein","2","2","1","1","270","","","","575","575","575","LIHGCB_00151","OBIBPL_00154"
"Trk family potassium (K+) transporter, membrane protein","","Trk family potassium (K+) transporter, membrane protein","2","2","1","1","610","","","","1454","1454","1454","LIHGCB_00512","OBIBPL_00509"
"mnmE","","tRNA modification GTPase MnmE","2","2","1","1","647","","","","1487","1487","1487","LIHGCB_00549","OBIBPL_00546"
"76K protein","","76K protein","2","2","1","1","144","","","","2108","2108","2108","LIHGCB_00015","OBIBPL_00015"
"group_913","hypothetical protein","hypothetical protein","2","2","1","1","44","","","","2399","2399","2399","LIHGCB_00988","OBIBPL_00985"
"4-hydroxy-3-methylbut-2-enyl diphosphate reductase","","4-hydroxy-3-methylbut-2-enyl diphosphate reductase","2","2","1","1","643","","","","1061","1061","1061","LIHGCB_00546","OBIBPL_00543"
"HD domain-containing protein","","HD domain-containing protein","2","2","1","1","740","","","","2549","2564","2556","LIHGCB_00648","OBIBPL_00647"
"group_916","Methyl-accepting chemotaxis protein","Methyl-accepting chemotaxis protein","2","2","1","1","730","","","","1844","1844","1844","LIHGCB_00638","OBIBPL_00637"
"group_917","hypothetical protein","hypothetical protein","2","2","1","1","271","","","","590","593","591","LIHGCB_00152","OBIBPL_00155"
"Uncharacterized protein TP_0304","","Uncharacterized protein TP_0304","2","2","1","1","413","","","","2927","2927","2927","LIHGCB_00307","OBIBPL_00309"
"Cyclic nucleotide-binding domain-containing protein","","Cyclic nucleotide-binding domain-containing protein","2","2","1","1","208","","","","1235","1235","1235","LIHGCB_00085","OBIBPL_00085"
"group_92","hypothetical protein","hypothetical protein","2","2","1","1","251","","","","467","467","467","LIHGCB_00131","OBIBPL_00133"
"Cobalt ABC transporter, ATP-binding protein","","Cobalt ABC transporter, ATP-binding protein","2","2","1","1","344","","","","767","767","767","LIHGCB_00231","OBIBPL_00233"
"group_921","hypothetical protein","hypothetical protein","2","2","1","1","69","","","","1661","1661","1661","LIHGCB_00961","OBIBPL_00958"
"group_922","hypothetical protein","hypothetical protein","2","2","1","1","248","","","","638","638","638","LIHGCB_00128","OBIBPL_00129"
"group_923","flaA","Flagellar filament outer layer protein FlaA","2","2","1","1","751","","","","728","728","728","LIHGCB_00659","OBIBPL_00658"
"group_924","hypothetical protein","hypothetical protein","2","2","1","1","890","","","","1451","1451","1451","LIHGCB_00806","OBIBPL_00805"
"putative methyl-accepting chemotaxis protein","","putative methyl-accepting chemotaxis protein","2","2","1","1","161","","","","2399","2417","2408","LIHGCB_00038","OBIBPL_00038"
"mglC","","Galactose/methyl galactoside import permease protein MglC","2","2","1","1","773","","","","1595","1595","1595","LIHGCB_00684","OBIBPL_00683"
"Sporulation initiation inhibitor protein Soj","","Sporulation initiation inhibitor protein Soj","2","2","1","1","389","","","","761","761","761","LIHGCB_00283","OBIBPL_00285"
"Uncharacterized protein TP_0747","","Uncharacterized protein TP_0747","2","2","1","1","832","","","","1034","1034","1034","LIHGCB_00745","OBIBPL_00744"
"group_929","hypothetical protein","hypothetical protein","2","2","1","1","569","","","","1952","1952","1952","LIHGCB_00465","OBIBPL_00462"
"mraZ","","Transcriptional regulator MraZ","2","2","1","1","456","","","","449","449","449","LIHGCB_00384","OBIBPL_00381"
"Response regulatory domain-containing protein","","Response regulatory domain-containing protein","2","2","1","1","471","","","","434","434","434","LIHGCB_00368","OBIBPL_00366"
"fliF","","FliF","2","2","1","1","440","","","","1703","1703","1703","LIHGCB_00400","OBIBPL_00397"
"Alginate O-acetylation protein","","Alginate O-acetylation protein","2","2","1","1","663","","","","1487","1487","1487","LIHGCB_00566","OBIBPL_00563"
"group_933","Sigma-54 factor interaction domain-containing protein","Sigma-54 factor interaction domain-containing protein","2","2","1","1","616","","","","1376","1376","1376","LIHGCB_00518","OBIBPL_00515"
"Periplasmic serine protease, putative","","Periplasmic serine protease, putative","2","2","1","1","642","","","","1715","1715","1715","LIHGCB_00545","OBIBPL_00542"
"group_935","hypothetical protein","hypothetical protein","2","2","1","1","556","","","","686","689","687","LIHGCB_00453","OBIBPL_00450"
"Bifunctional enzyme IspD/IspF","","Bifunctional enzyme IspD/IspF","2","2","1","1","609","","","","1247","1247","1247","LIHGCB_00511","OBIBPL_00508"
"ABC transport system ATP-binding protein","","ABC transport system ATP-binding protein","2","2","1","1","914","","","","1664","1664","1664","LIHGCB_00830","OBIBPL_00829"
"Transketolase","","Transketolase","2","2","1","1","657","","","","1985","1985","1985","LIHGCB_00560","OBIBPL_00557"
"Large ribosomal subunit protein bL12","","Large ribosomal subunit protein bL12","2","2","1","1","356","","","","389","389","389","LIHGCB_00245","OBIBPL_00247"
"group_94","hypothetical protein","hypothetical protein","2","2","1","1","468","","","","1538","1538","1538","LIHGCB_00371","OBIBPL_00369"
"UDP-N-acetylmuramate--L-alanine ligase","","UDP-N-acetylmuramate--L-alanine ligase","2","2","1","1","497","","","","1445","1445","1445","LIHGCB_00342","OBIBPL_00340"
"group_941","J domain-containing protein","J domain-containing protein","2","2","1","1","919","","","","797","797","797","LIHGCB_00835","OBIBPL_00834"
"Uncharacterized protein TP_0584","","Uncharacterized protein TP_0584","2","2","1","1","679","","","","1409","1409","1409","LIHGCB_00582","OBIBPL_00579"
"flhF","","Flagellar biosynthesis protein FlhF","2","2","1","1","798","","","","1313","1313","1313","LIHGCB_00711","OBIBPL_00710"
"Type III pantothenate kinase","","Type III pantothenate kinase","2","2","1","1","533","","","","821","821","821","LIHGCB_00431","OBIBPL_00428"
"Outer membrane protein TP0453","","Outer membrane protein TP0453","2","2","1","1","554","","","","806","806","806","LIHGCB_00451","OBIBPL_00448"
"group_946","UPF0164 protein TP_0858","UPF0164 protein TP_0858","2","2","1","1","933","","","","1118","1118","1118","LIHGCB_00849","OBIBPL_00848"
"group_947","hypothetical protein","hypothetical protein","2","2","1","1","961","","","","827","827","827","LIHGCB_00877","OBIBPL_00875"
"Small-conductance mechanosensitive channel","","Small-conductance mechanosensitive channel","2","2","1","1","899","","","","941","941","941","LIHGCB_00815","OBIBPL_00814"
"Flagellar hook-associated protein 1","","Flagellar hook-associated protein 1","2","2","1","1","748","","","","1877","1877","1877","LIHGCB_00656","OBIBPL_00655"
"group_95","hypothetical protein","hypothetical protein","2","2","1","1","106","","","","1010","1010","1010","LIHGCB_00924","OBIBPL_00922"
"Biotin carboxylase","","Biotin carboxylase","2","2","1","1","782","","","","1793","1793","1793","LIHGCB_00694","OBIBPL_00693"
"V-type ATP synthase alpha chain","","V-type ATP synthase alpha chain","2","2","1","1","528","","","","1769","1769","1769","LIHGCB_00426","OBIBPL_00423"
"Glutamate--tRNA ligase","","Glutamate--tRNA ligase","2","2","1","1","760","","","","1703","1703","1703","LIHGCB_00670","OBIBPL_00669"
"Pyruvate carboxylase subunit B","","Pyruvate carboxylase subunit B","2","2","1","1","176","","","","1781","1781","1781","LIHGCB_00053","OBIBPL_00053"
"group_954","DNA 3'-5' helicase","DNA 3'-5' helicase","2","2","1","1","972","","","","3752","3755","3753","LIHGCB_00887","OBIBPL_00885"
"Uncharacterized protein TP_0179","","Uncharacterized protein TP_0179","2","2","1","1","296","","","","1883","1883","1883","LIHGCB_00178","OBIBPL_00181"
"group_956","hypothetical protein","hypothetical protein","2","2","1","1","586","","","","2021","2021","2021","LIHGCB_00482","OBIBPL_00479"
"group_957","hypothetical protein","hypothetical protein","2","2","1","1","715","","","","1592","1592","1592","LIHGCB_00620","OBIBPL_00618"
"MATE family multi antimicrobial extrusion protein OR","","MATE family multi antimicrobial extrusion protein OR","2","2","1","1","974","","","","1412","1412","1412","LIHGCB_00889","OBIBPL_00887"
"group_959","hypothetical protein","hypothetical protein","2","2","1","1","342","","","","107","107","107","LIHGCB_00225","OBIBPL_00227"
"group_96","hypothetical protein","hypothetical protein","2","2","1","1","307","","","","284","284","284","LIHGCB_00189","OBIBPL_00192"
"group_960","hypothetical protein","hypothetical protein","2","2","1","1","383","","","","107","107","107","LIHGCB_00273","OBIBPL_00275"
"Peptidoglycan glycosyltransferase","","Peptidoglycan glycosyltransferase","2","2","1","1","598","","","","1874","1874","1874","LIHGCB_00497","OBIBPL_00494"
"group_962","hypothetical protein","hypothetical protein","2","2","1","1","815","","","","851","851","851","LIHGCB_00728","OBIBPL_00727"
"Peptidase M15C domain-containing protein","","Peptidase M15C domain-containing protein","2","2","1","1","685","","","","1502","1502","1502","LIHGCB_00592","OBIBPL_00589"
"Uncharacterized protein TP_0966","","Uncharacterized protein TP_0966","2","2","1","1","75","","","","1658","1664","1661","LIHGCB_00955","OBIBPL_00952"
"HAMP domain-containing protein","","HAMP domain-containing protein","2","2","1","1","930","","","","4601","4601","4601","LIHGCB_00846","OBIBPL_00845"
"Large ribosomal subunit protein uL6","","Large ribosomal subunit protein uL6","2","2","1","1","319","","","","539","539","539","LIHGCB_00201","OBIBPL_00204"
"mreC","","Cell shape-determining protein MreC","2","2","1","1","596","","","","863","863","863","LIHGCB_00495","OBIBPL_00492"
"Uncharacterized protein TP_0967","","Uncharacterized protein TP_0967","2","2","1","1","74","","","","1538","1538","1538","LIHGCB_00956","OBIBPL_00953"
"SSD domain-containing protein","","SSD domain-containing protein","2","2","1","1","873","","","","2651","2651","2651","LIHGCB_00788","OBIBPL_00788"
"Hemolysin, putative","","Hemolysin, putative","2","2","1","1","151","","","","1361","1361","1361","LIHGCB_00028","OBIBPL_00028"
"group_970","hypothetical protein","hypothetical protein","2","2","1","1","59","","","","674","674","674","LIHGCB_00971","OBIBPL_00968"
"Methionine aminopeptidase","","Methionine aminopeptidase","2","2","1","1","918","","","","767","767","767","LIHGCB_00834","OBIBPL_00833"
"CheW-like domain-containing protein","","CheW-like domain-containing protein","2","2","1","1","541","","","","473","473","473","LIHGCB_00438","OBIBPL_00435"
"MgtC/SapB/SrpB/YhiD N-terminal domain-containing protein","","MgtC/SapB/SrpB/YhiD N-terminal domain-containing protein","2","2","1","1","856","","","","674","674","674","LIHGCB_00771","OBIBPL_00771"
"Long-chain-fatty-acid--CoA ligase","","Long-chain-fatty-acid--CoA ligase","2","2","1","1","265","","","","1970","1970","1970","LIHGCB_00145","OBIBPL_00147"
"group_975","hypothetical protein","hypothetical protein","2","2","1","1","341","","","","740","740","740","LIHGCB_00224","OBIBPL_00226"
"Poly(A) polymerase","","Poly(A) polymerase","2","2","1","1","689","","","","1112","1112","1112","LIHGCB_00596","OBIBPL_00593"
"group_977","HD-GYP domain-containing protein","HD-GYP domain-containing protein","2","2","1","1","984","","","","1250","1250","1250","LIHGCB_00899","OBIBPL_00897"
"tRNA pseudouridine synthase A","","tRNA pseudouridine synthase A","2","2","1","1","906","","","","785","785","785","LIHGCB_00822","OBIBPL_00821"
"putative nicotinamidase","","putative nicotinamidase","2","2","1","1","783","","","","818","818","818","LIHGCB_00695","OBIBPL_00694"
"group_98","hypothetical protein","hypothetical protein","2","2","1","1","295","","","","926","926","926","LIHGCB_00177","OBIBPL_00180"
"Pyrophosphate--fructose 6-phosphate 1-phosphotransferase","","Pyrophosphate--fructose 6-phosphate 1-phosphotransferase","2","2","1","1","638","","","","1721","1721","1721","LIHGCB_00541","OBIBPL_00538"
"Primosomal protein N'","","Primosomal protein N'","2","2","1","1","347","","","","1973","1973","1973","LIHGCB_00234","OBIBPL_00236"
"group_982","DNA 3'-5' helicase","DNA 3'-5' helicase","2","2","1","1","14","","","","2042","2057","2049","LIHGCB_01018","OBIBPL_01015"
"UPF0164 protein TP_0865","","UPF0164 protein TP_0865","2","2","1","1","941","","","","1427","1427","1427","LIHGCB_00857","OBIBPL_00855"
"group_984","hypothetical protein","hypothetical protein","2","2","1","1","977","","","","371","371","371","LIHGCB_00892","OBIBPL_00890"
"Uncharacterized protein TP_0968","","Uncharacterized protein TP_0968","2","2","1","1","73","","","","1622","1622","1622","LIHGCB_00957","OBIBPL_00954"
"Uncharacterized lipoprotein TP_0134","","Uncharacterized lipoprotein TP_0134","2","2","1","1","254","","","","1262","1262","1262","LIHGCB_00134","OBIBPL_00136"
"group_987","hypothetical protein","hypothetical protein","2","2","1","1","763","","","","278","278","278","LIHGCB_00673","OBIBPL_00672"
"Lipoprotein","","Lipoprotein","2","2","1","1","492","","","","695","701","698","LIHGCB_00347","OBIBPL_00345"
"group_989","DUF2715 domain-containing protein","DUF2715 domain-containing protein","2","2","1","1","579","","","","605","605","605","LIHGCB_00475","OBIBPL_00472"
"group_99","hypothetical protein","hypothetical protein","2","2","1","1","844","","","","878","878","878","LIHGCB_00757","OBIBPL_00756"
"ILT iron/lead superfamily transporter","","ILT iron/lead superfamily transporter","2","2","1","1","70","","","","1346","1346","1346","LIHGCB_00960","OBIBPL_00957"
"Restriction endonuclease type IV Mrr domain-containing protein","","Restriction endonuclease type IV Mrr domain-containing protein","2","2","1","1","571","","","","1373","1373","1373","LIHGCB_00467","OBIBPL_00464"
"group_13","hypothetical protein","hypothetical protein","1","1","1","1","710","29","1","","1304","1304","1304","LIHGCB_00320",""
"group_14","hypothetical protein","hypothetical protein","1","1","1","1","124","30","2","","1712","1712","1712","LIHGCB_00617",""
"group_2","hypothetical protein","hypothetical protein","1","1","1","1","129","26","1","","695","695","695","","OBIBPL_00099"
"group_32","hypothetical protein","hypothetical protein","1","1","1","1","127","28","2","","608","608","608","","OBIBPL_00131"
"group_33","Tpr protein K","Tpr protein K","1","1","1","1","971","6","1","","1472","1472","1472","","OBIBPL_00884"
"group_34","Uncharacterized lipoprotein TP_0134","Uncharacterized lipoprotein TP_0134","1","1","1","1","257","5","1","","1214","1214","1214","LIHGCB_00137",""
"group_35","hypothetical protein","hypothetical protein","1","1","1","1","125","22","1","","110","110","110","LIHGCB_00223",""
"group_36","hypothetical protein","hypothetical protein","1","1","1","1","465","15","1","","590","590","590","LIHGCB_00375",""
"group_37","hypothetical protein","hypothetical protein","1","1","1","1","423","27","1","","524","524","524","LIHGCB_00416",""
"Acidic repeat protein","","Acidic repeat protein","1","1","1","1","536","8","1","","2279","2279","2279","LIHGCB_00433",""
"group_39","Uncharacterized lipoprotein TP_0462/TP_0463","Uncharacterized lipoprotein TP_0462/TP_0463","1","1","1","1","564","25","1","","1271","1271","1271","LIHGCB_00461",""
"group_4","hypothetical protein","hypothetical protein","1","1","1","1","419","9","1","","584","584","584","LIHGCB_00313",""
"group_40","UPF0164 protein TP_0548","UPF0164 protein TP_0548","1","1","1","1","644","24","1","","1313","1313","1313","LIHGCB_00547",""
"Uncharacterized protein TP_0619","","Uncharacterized protein TP_0619","1","1","1","1","518","30","1","","704","704","704","LIHGCB_00616",""
"group_42","hypothetical protein","hypothetical protein","1","1","1","1","934","3","1","","737","737","737","LIHGCB_00850",""
"Large ribosomal subunit protein bL34","","Large ribosomal subunit protein bL34","1","1","1","1","90","13","1","","155","155","155","LIHGCB_00940",""
"Tpr protein L","","Tpr protein L","1","1","1","1","12","12","1","","1877","1877","1877","LIHGCB_01020",""
"Uncharacterized protein TP_0127","","Uncharacterized protein TP_0127","1","1","1","1","128","28","1","","668","668","668","","OBIBPL_00132"
"group_46","Uncharacterized lipoprotein TP_0134","Uncharacterized lipoprotein TP_0134","1","1","1","1","256","4","1","","1169","1169","1169","","OBIBPL_00139"
"group_47","hypothetical protein","hypothetical protein","1","1","1","1","126","23","1","","167","167","167","","OBIBPL_00149"
"group_48","hypothetical protein","hypothetical protein","1","1","1","1","515","14","1","","146","146","146","","OBIBPL_00320"
"group_49","hypothetical protein","hypothetical protein","1","1","1","1","424","21","1","","581","581","581","","OBIBPL_00413"
"group_50","Acidic repeat protein","Acidic repeat protein","1","1","1","1","535","19","1","","2159","2159","2159","","OBIBPL_00430"
"Uncharacterized lipoprotein TP_0462/TP_0463","","Uncharacterized lipoprotein TP_0462/TP_0463","1","1","1","1","565","10","1","","1268","1268","1268","","OBIBPL_00458"
"UPF0164 protein TP_0548","","UPF0164 protein TP_0548","1","1","1","1","645","20","1","","1277","1277","1277","","OBIBPL_00544"
"group_53","Methyl-accepting chemotaxis protein","Methyl-accepting chemotaxis protein","1","1","1","1","123","11","1","","1835","1835","1835","","OBIBPL_00636"
"group_54","hypothetical protein","hypothetical protein","1","1","1","1","122","1","1","","1199","1199","1199","","OBIBPL_00768"
"group_55","Tpr protein L","Tpr protein L","1","1","1","1","11","18","1","","1877","1877","1877","","OBIBPL_01017"
"group_6","clpA","ATP-dependent Clp protease ATP-binding subunit ClpA","1","1","1","1","121","16","1","","2318","2318","2318","LIHGCB_00797",""
"group_8","hypothetical protein","hypothetical protein","1","1","1","1","250","17","1","","458","458","458","LIHGCB_00130",""
"group_859","hypothetical protein","hypothetical protein","1","1","1","1","709","29","2","","296","296","296","LIHGCB_00321",""
"group_877","hypothetical protein","hypothetical protein","1","1","1","1","712","2","1","","1742","1742","1742","","OBIBPL_00615"
"Tpr protein K","","Tpr protein K","1","1","1","1","970","7","1","","1469","1469","1469","LIHGCB_00886",""
